KCs,student,problem,step,outcome,fold
Nested_Loops,3012,jNested3,19537,incorrect,1
Nested_Loops,3018,jNested1,20011,correct,1
Nested_Loops,3018,jNested2,20014,correct,1
Nested_Loops,3019,jNested1,20298,correct,1
Nested_Loops,3019,jNested2,20300,incorrect,1
Nested_Loops,3020,jNested1,20577,incorrect,1
Nested_Loops,3020,jNested2,20580,incorrect,1
Nested_Loops,3021,jNested1,20765,correct,1
Nested_Loops,3022,jNested1,20858,correct,1
Nested_Loops,3086,jNested1,21132,correct,1
Nested_Loops,3086,jNested2,21133,incorrect,1
